,0
0,4960005600000.0
1,3720001560000.0
2,3720001560000.0
3,3720001560000.0
4,3720001560000.0
5,3720001560000.0
6,3720001560000.0
7,3720001560000.0
8,3720001560000.0
9,2480008080000.0
10,5280000.0
11,1860000000000.0
12,1860000000000.0
13,1860000000000.0
14,1860000000000.0
15,1860000000000.0
16,1860000000000.0
17,1860000000000.0
18,1860000000000.0
19,5280000.0
20,5280000.0
21,1860000000000.0
22,1860000000000.0
23,1860000000000.0
24,1860000000000.0
25,1860000000000.0
26,1860000000000.0
27,1860000000000.0
28,1860000000000.0
29,5280000.0
30,5280000.0
31,1860000000000.0
32,1860000000000.0
33,1860000000000.0
34,1860000000000.0
35,1860000000000.0
36,1860000000000.0
37,1860000000000.0
38,1860000000000.0
39,5280000.0
40,5280000.0
41,1860000000000.0
42,1860000000000.0
43,1860000000000.0
44,1860000000000.0
45,1860000000000.0
46,1860000000000.0
47,1860000000000.0
48,1860000000000.0
49,5280000.0
50,5280000.0
51,1860000000000.0
52,1860000000000.0
53,1860000000000.0
54,1860000000000.0
55,1860000000000.0
56,1860000000000.0
57,1860000000000.0
58,1860000000000.0
59,5280000.0
60,5280000.0
61,1860000000000.0
62,1860000000000.0
63,1860000000000.0
64,1860000000000.0
65,1860000000000.0
66,1860000000000.0
67,1860000000000.0
68,1860000000000.0
69,5280000.0
70,5280000.0
71,1860000000000.0
72,1860000000000.0
73,1860000000000.0
74,1860000000000.0
75,1860000000000.0
76,1860000000000.0
77,1860000000000.0
78,1860000000000.0
79,5280000.0
80,5280000.0
81,1860000000000.0
82,1860000000000.0
83,1860000000000.0
84,1860000000000.0
85,1860000000000.0
86,1860000000000.0
87,1860000000000.0
88,1860000000000.0
89,5280000.0
90,2480008080000.0
91,3720001560000.0
92,3720001560000.0
93,3720001560000.0
94,3720001560000.0
95,3720001560000.0
96,3720001560000.0
97,3720001560000.0
98,3720001560000.0
99,4960005600000.0
